GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
docencia-bloques-solucion,com.docencia.condicionales,IfElseServiceImpl,0,28,0,0,0,6,0,6,0,6
docencia-bloques-solucion,com.docencia.condicionales,SwitchServiceImpl,0,28,0,0,0,6,0,6,0,6
docencia-bloques-solucion,com.docencia.herencia,Alumno,3,9,0,0,1,3,1,1,1,1
docencia-bloques-solucion,com.docencia.herencia,Persona,9,12,0,0,3,5,3,1,3,1
docencia-bloques-solucion,com.docencia.herencia,HerenciaServiceImpl,0,28,0,0,0,6,0,6,0,6
docencia-bloques-solucion,com.docencia.algoritmos,OrdenacionServiceImpl,0,28,0,0,0,6,0,6,0,6
docencia-bloques-solucion,com.docencia.algoritmos,BusquedaServiceImpl,0,28,0,0,0,6,0,6,0,6
docencia-bloques-solucion,com.docencia.numeros,MathServiceImpl,0,28,0,0,0,6,0,6,0,6
docencia-bloques-solucion,com.docencia.numeros,IntegerServiceImpl,0,28,0,0,0,6,0,6,0,6
docencia-bloques-solucion,com.docencia.colecciones,SetServiceImpl,0,28,0,0,0,6,0,6,0,6
docencia-bloques-solucion,com.docencia.colecciones,MapServiceImpl,0,28,0,0,0,6,0,6,0,6
docencia-bloques-solucion,com.docencia.colecciones,ListServiceImpl,0,28,0,0,0,6,0,6,0,6
docencia-bloques-solucion,com.docencia.cadenas,StringServiceImpl,0,33,0,0,0,7,0,7,0,7
docencia-bloques-solucion,com.docencia.ficheros,CsvServiceImpl,0,33,0,0,0,7,0,7,0,7
docencia-bloques-solucion,com.docencia.fechas,LocalDateServiceImpl,0,28,0,0,0,6,0,6,0,6
docencia-bloques-solucion,com.docencia.regex,RegexServiceImpl,0,33,0,0,0,7,0,7,0,7
docencia-bloques-solucion,com.docencia.sqlite,Cliente,12,15,0,0,4,6,4,1,4,1
docencia-bloques-solucion,com.docencia.sqlite,ClienteDbServiceImpl,15,21,0,0,3,6,3,4,3,4
docencia-bloques-solucion,com.docencia.sqlite,ClienteSqliteRepository,37,27,0,0,8,10,6,3,6,3
